				aerobic	anaerobic
alanine	s_0404	s_1582	89.09	8.297254781	8.333020372
cysteine	s_0542	s_1589	121.16	0.896197612	0.886731932
aspartic acid	s_0432	s_1587	133.11	5.735167195	5.730817148
glutamic acid	s_0748	s_1591	147.13	7.074407898	6.923392022
phenylalanine	s_1314	s_1604	165.19	3.979875681	4.024368832
glycine	s_0757	s_1593	75.07	6.770461891	6.926799575
histidine	s_0832	s_1594	155.15	1.993972898	2.039890323
isoleucine	s_0847	s_1596	131.17	6.334796606	6.307298159
lysine	s_1099	s_1600	146.19	7.859720537	7.796491526
leucine	s_1077	s_1598	131.17	8.650075568	8.60982583
methionine	s_1148	s_1602	149.21	1.944590197	1.865411506
asparagine	s_0430	s_1585	132.12	4.568570566	4.578884297
proline	s_1379	s_1606	115.13	4.29066644	4.352671224
glutamine	s_0747	s_1590	146.14	3.368190574	3.360141247
arginine	s_0428	s_1583	174.2	4.636052043	4.560526314
serine	s_1428	s_1607	105.09	6.626740895	6.612652098
threonine	s_1491	s_1608	119.12	5.611403461	5.608015395
valine	s_1561	s_1614	117.15	7.506698673	7.527134958
tryptophan	s_1527	s_1610	204.23	0.920304475	0.932103986
tyrosine	s_1533	s_1612	181.19	2.935483817	3.023817051
