GPR_old;GPR.new
( x(339) | x(633) );((YGR032W or YLR342W) and (YCR034W or YLR372W))
x(162);(YDR035W or YBR249C)
( x(18) | x(57) );(YBR093C or YAR071W or YBR092C or YHR215W)
(( x(63) & x(171) & x(661) ) | ( x(63) & x(171) & x(701) ));((YBR126C and YDR074W and YMR261C and YML100W) or YBR126C)
( x(474) | ( x(505) & x(827) ));(YJL130C and YJR109C and YOR303W)
( x(370) & x(691) );(YMR205C or (YGR240C and YMR205C))
( x(370) & x(691) );(YMR205C or (YGR240C and YMR205C))
( x(538) | x(681) );((YMR105C or YKL127W) and (YMR105C or YKL127W or YMR278W))
(( x(28) & x(771) ) | ( x(279) & x(771) ) | ( x(388) & x(547) ));((YKL181W and YER099C) or (YKL181W and YHL011C) or (YKL181W and YBL068W) or (YER099C and YOL061W) or (YBL068W and YOL068W))
( x(161) | x(395) );(YDR023W or (YDR023W and YHR011W))
(( x(63) & x(171) & x(661) ) | ( x(63) & x(171) & x(701) ));((YBR126C and YDR074W and YMR261C and YML100W) or YBR126C)
x(688);(YMR170C or YOR374W or YER073W)
x(715);(YMR319C or YMR058W)
x(803);(YOR130C or BAC1)
