Abbreviation;GPR.new
r_0026;(YHR208W or YJR148W or YGL202W or YHR137W)
r_0043;(YPL252C or YDR376W)
r_0044;(YDR538W and YDR539W)
r_0086;YJR024C
r_0087;YPR118W
r_0094;(YAR069W-A or YHR214W-F)
r_0475;(YMR096W or (YMR095C and YMR096W))
r_0696;YOL151W
r_0992;((YDL040C and YGR147C and YHR013C) or (YDL040C and YGR147C))
r_1603;YGL234W
r_1623;YER183C
r_1624;YER183C
r_1685;YUBIC
r_1739;YDR071C
r_1790;YDL045C
