Var1,Var2
s_0001,10000000
s_0002,10000000
s_0003,10000000
s_0004,-229.852697455752
s_0006,-343.181911725854
s_0007,-160.48296428325
s_0008,-45.1696856475534
s_0009,-103.170656550903
s_0010,-112.159280891468
s_0011,-112.159280891468
s_0012,-209.442777306197
s_0013,247.778508845496
s_0014,247.778508845496
s_0015,-69.2519536214927
s_0016,-67.6267393940744
s_0017,-256.781346550636
s_0018,-473.819780158517
s_0019,-274.699276296756
s_0020,5.77495603567488
s_0021,76.0181806800816
s_0022,76.0181806800816
s_0023,76.0181806800816
s_0024,76.0181806800816
s_0025,-74.6793543656835
s_0026,-74.6793543656835
s_0027,-74.6793543656835
s_0028,-50.8586902944571
s_0029,-50.8586902944571
s_0030,-52.6682325988827
s_0031,-32.9442934641724
s_0032,-32.9442934641724
s_0033,-102.348241780679
s_0034,-102.348241780679
s_0035,17.2286950593959
s_0036,17.2286950593959
s_0037,606.153475533815
s_0038,606.153475533815
s_0039,-57.9867167094583
s_0042,-262.647197381573
s_0045,121.01221423962
s_0048,-214.689770928924
s_0051,-118.774918023625
s_0054,-166.732344476275
s_0056,-22.2017927114537
s_0058,-22.2017927114537
s_0060,-22.2017927114537
s_0061,-103.029227450526
s_0062,-12.0487829880461
s_0063,-74.6793543656835
s_0064,-74.6793543656835
s_0065,-74.6793543656835
s_0066,-162.828746110704
s_0067,-162.828746110704
s_0068,-162.828746110704
s_0069,-162.828746110704
s_0075,-550.967719337026
s_0076,-267.718769639026
s_0077,-456.945430241549
s_0078,-421.023061609807
s_0079,-312.069865151223
s_0080,-312.069865151223
s_0084,10000000
s_0086,-141.841362348296
s_0087,98.6683092420329
s_0089,10000000
s_0116,-40.8824609054209
s_0117,-40.8824609054209
s_0118,-1.04229929354852
s_0119,-1.04229929354852
s_0120,73.2301229177086
s_0121,73.2301229177086
s_0122,510.249736510094
s_0123,-964.997803621431
s_0124,-964.995357774537
s_0125,-762.097684752764
s_0126,-326.15282512419
s_0127,-326.15282512419
s_0129,-318.637952315165
s_0131,-95.3875659168832
s_0132,111.812656801335
s_0133,111.812656801335
s_0134,70.6193035949773
s_0135,70.6193035949773
s_0136,33.3689542283351
s_0137,33.3689542283351
s_0138,-28.5875659168832
s_0139,-28.5875659168832
s_0140,-560.033096515603
s_0141,-190.835736848057
s_0142,-191.360871008889
s_0143,10000000
s_0144,10000000
s_0145,-37.038191454871
s_0146,-80.4437805781009
s_0147,-100.445131920289
s_0148,102.846838363537
s_0149,-61.6617454850042
s_0150,-61.6617454850042
s_0152,-44.4113049406041
s_0153,-267.450717642517
s_0154,653.192095734127
s_0155,672.941030274838
s_0156,693.368105470895
s_0157,713.998105470895
s_0158,-253.506713927304
s_0161,264.702654069055
s_0162,-104.591298216259
s_0163,-104.591298216259
s_0164,-104.591298216259
s_0165,-65.8998087897337
s_0166,66.3686950593959
s_0167,66.3686950593959
s_0168,66.3686950593959
s_0169,76.3624340831168
s_0170,76.3624340831168
s_0171,76.3624340831168
s_0172,58.3861731068378
s_0173,58.3861731068378
s_0174,-209.442717673973
s_0176,-129.6330239155
s_0177,-129.6330239155
s_0178,-62.5792164633105
s_0179,-62.5792164633105
s_0180,-150.726706011771
s_0181,-150.726706011771
s_0182,-150.726706011771
s_0183,-150.726706011771
s_0184,-150.726706011771
s_0185,90.7086950593959
s_0186,90.7086950593959
s_0187,90.7086950593959
s_0188,-334.702453727213
s_0189,-25.4056635115267
s_0190,-131.390619606411
s_0191,-131.390619606411
s_0192,-93.8275659168832
s_0193,-172.487951734246
