id	name	bigg.reaction	ec-code	kegg.pathway	kegg.reaction	metanetx.reaction
r_0018	2-aminoadipate transaminase	AATA	2.6.1.39;2.6.1.57;2.6.1.7	sce00130;sce00270;sce00300;sce00350;sce00360;sce00380;sce00400;sce01110;sce01130;sce01210;sce01230	R01939	MNXR95160
r_0019	2-dehydropantoate 2-reductase	DPR	1.1.1.169	sce00770;sce01110	R02472	MNXR97779
r_0020	2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	DDPAm	2.5.1.54	sce00400;sce01110;sce01130;sce01230	R01826	MNXR97218
r_0021	2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase	2HPMBQMTm	1.14.13.-;2.1.1.114;2.1.1.201;2.1.1.64;2.7.-.-	sce00130;sce01110	R04983	MNXR109269
r_0022	2-hexaprenyl-6-methoxyphenol monooxygenase	2HP6MPMOm	1.14.13.-;2.1.1.114;2.1.1.201;2.1.1.64;2.7.-.-	sce00130;sce01110	R04982	MNXR109268
r_0023	2-isopropylmalate hydratase	IPPMIb	4.2.1.33	sce00290;sce01110;sce01210;sce01230	R03968	MNXR100826
r_0024	2-isopropylmalate synthase	IPPS	2.3.3.13	sce00290;sce00620;sce01110;sce01210;sce01230	R01213	MNXR100879
r_0025	2-isopropylmalate synthase	IPPSm	2.3.3.13	sce00290;sce00620;sce01110;sce01210;sce01230	R01213	MNXR100879
r_0026	2-keto-4-methylthiobutyrate transamination				R07396	MNXR95923
r_0027	2-methylcitrate dehydratase		4.2.1.36	sce00300;sce01130;sce01210;sce01230	R03444	MNXR141287
r_0028	2-methylcitrate synthase	MCITSm	2.3.3.1	sce00020;sce00630;sce01110;sce01130;sce01200;sce01210;sce01230	R00931	MNXR101417
r_0029	2-oxo-4-methyl-3-carboxypentanoate decarboxylation	OMCDC	2.6.1.42	sce00270;sce00280;sce00290;sce00770;sce01110;sce01130;sce01210;sce01230	R01652	MNXR102180
r_0030	2-oxo-4-methyl-3-carboxypentanoate decarboxylation	OMCDCm	2.6.1.42	sce00270;sce00280;sce00290;sce00770;sce01110;sce01130;sce01210;sce01230	R01652	MNXR102180
r_0032	3',5'-bisphosphate nucleotidase	BPNT	3.1.3.7	sce00920;sce01130	R00188	MNXR96321
r_0033	3',5'-cyclic-nucleotide phosphodiesterase	PDE1	3.1.4.17;3.1.4.53	sce00230	R00191	MNXR95886
r_0034	3',5'-cyclic-nucleotide phosphodiesterase	PDE2	3.1.4.53	sce00230		MNXR136084
r_0035	3',5'-cyclic-nucleotide phosphodiesterase	PDE3	3.1.4.53	sce00230		MNXR136083
r_0036	3',5'-cyclic-nucleotide phosphodiesterase	PDE4	3.1.4.53	sce00230	R01234	MNXR100078
r_0037	3',5'-cyclic-nucleotide phosphodiesterase	PDE5	3.1.4.53	sce00230		MNXR136082
r_0038	3,4-dihydroxy-2-butanone-4-phosphate synthase	DB4PS	4.1.99.12	sce00740;sce01110	R07281	MNXR97178
r_0039	3-dehydroquinate dehydratase	DHQTi	1.1.1.25;2.5.1.19;2.7.1.71;4.2.1.10;4.2.3.4	sce00400;sce01110;sce01130;sce01230	R03084	MNXR97449
r_0040	3-dehydroquinate synthase	DHQS	1.1.1.25;2.5.1.19;2.7.1.71;4.2.1.10;4.2.3.4	sce00400;sce01110;sce01130;sce01230	R03083	MNXR97447
r_0041	3-dehydrosphinganine reductase		1.1.1.102	sce00600	R02978	MNXR94866
r_0042	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	DDPA	2.5.1.54	sce00400;sce01110;sce01130;sce01230	R01826	MNXR97218
r_0043	3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase	3OPHB5Hm			R06865	MNXR110601
r_0044	3-hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase				R06866	MNXR94901
r_0045	3-hydroxy-L-kynurenine hydrolase	HKYNH	3.7.1.3	sce00380	R02668	MNXR100656
r_0057	3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)	HACD6p	1.1.1.n12;4.2.1.119		R04739	MNXR100547
r_0058	3-hydroxyanthranilate 3,4-dioxygenase	3HAO	1.13.11.6	sce00380	R02665	MNXR94889
r_0059	3-isopropylmalate 3-methyltransferase		2.1.1.145			
r_0060	3-isopropylmalate dehydratase	IPPMIa	4.2.1.33	sce00290;sce01110;sce01210;sce01230	R04001	MNXR100827
r_0061	3-isopropylmalate dehydrogenase	IPMD	1.1.1.85	sce00290;sce00660;sce01110;sce01210;sce01230	R04426	MNXR100878
r_0062	3-methyl-2-oxobutanoate decarboxylase	3MOBDC	4.1.1.-;4.1.1.1;4.1.1.43;4.1.1.74	sce00010;sce01110;sce01130		MNXR94922
r_0063	3-methyl-2-oxobutanoate hydroxymethyltransferase	MTMOHT	2.1.2.11	sce00770;sce01110	R01226	MNXR101702
r_0064	3-methyl-2-oxopentanoate decarboxylase	3MOPDC	4.1.1.-;4.1.1.1;4.1.1.43;4.1.1.74	sce00010;sce01110;sce01130	R03894	MNXR198587
r_0065	3-phosphoshikimate 1-carboxyvinyltransferase	PSCVT	1.1.1.25;2.5.1.19;2.7.1.71;4.2.1.10;4.2.3.4	sce00400;sce01110;sce01130;sce01230	R03460	MNXR103226
r_0066	4-amino-4-deoxychorismate synthase	ADCS	2.6.1.85	sce00790	R01716	MNXR95440
r_0067	4-aminobenzoate synthase	ADCL	4.1.3.38		R05553	MNXR95436
r_0068	4-aminobutyrate transaminase	ABTA	2.6.1.19	sce00250;sce00280;sce00410;sce00640;sce00650	R01648	MNXR95186
r_0069	4-hydroxy-L-threonine synthase	4HTHRS	4.2.3.1	sce00260;sce00750;sce01110;sce01230	R05086	MNXR95024
r_0070	4-hydroxybenzoate formation	4HBZFm			R01301	MNXR95011
r_0072	4-methyl-2-oxopentanoate decarboxylase	4MOPDC	4.1.1.-	sce00010;sce01110;sce01130		MNXR137950
r_0073	4PP-IP5 depyrophosphorylation to IP6		2.7.4.21;2.7.4.24;3.6.1.52;3.6.1.60		R05779	MNXR103044
r_0074	4PP-IP5 pyrophosphorylation to 4,5-PP2-IP4		2.7.4.21	sce04070;sce04138		
r_0075	5'-methylthioadenosine phosphorylase	MTAP	2.4.2.28	sce00270	R01402	MNXR101745
r_0076	5'-nucleotidase (CMP)	NTD4	3.1.3.-	sce00760	R00511	MNXR102034
r_0077	5'-nucleotidase (IMP)	NTD11	3.1.3.99	sce00230;sce00760	R01126	MNXR102030
r_0078	5'-nucleotidase (UMP)	NTD2	3.1.3.-	sce00760	R00963	MNXR102032
r_0079	5'-phosphoribosylformyl glycinamidine synthetase	PRFGS	6.3.5.3	sce00230;sce01110;sce01130	R04463	MNXR108904
r_0080	5,10-methylenetetrahydrofolate reductase (NADPH)	MTHFR3	1.5.1.20	sce00670;sce01200	R01224	MNXR101752
r_0081	5-aminolevulinate synthase	ALASm	2.3.1.37	sce00260;sce00860;sce01110	R00830	MNXR95695
r_0082	5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase		3.6.1.52;3.6.1.60		R05779	MNXR103044
r_0083	5-diphosphoinositol-1,2,3,4,6-pentakisphosphate synthase		2.7.4.21	sce04070;sce04138	R09087	MNXR101584
r_0084	5-formethyltetrahydrofolate cyclo-ligase	FTHFCL	6.3.3.2	sce00670	R02301	MNXR99668
r_0085	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase	MHPGLUT	2.1.1.14	sce00270;sce00450;sce01110;sce01230	R04405	MNXR101555
r_0086	5-methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase	MDRPD			R07392	MNXR125830
r_0087	5-methylthioribose-1-phosphate isomerase	MTRI			R04420	MNXR101759
r_0088	5PP-IP5 pyrophosphorylation to 4,5-PP2-IP4		2.7.4.21;2.7.4.24			
r_0089	5PP-IP5 pyrophosphorylation to 5,6-PP2-IP4		2.7.4.21;2.7.4.24			
r_0090	6-phosphofructo-2-kinase	PFK26	2.7.1.105	sce00051		MNXR124534
r_0091	6-phosphogluconolactonase	PGL	3.1.1.31	sce00030;sce01110;sce01130;sce01200	R02035	MNXR102539
r_0092	6PP-IP5 depyrophosphorylation to IP6		2.7.4.21;2.7.4.24;3.6.1.52;3.6.1.60		R05779	MNXR103044
r_0093	6PP-IP5 pyrophosphorylation to 5,6-PP2-IP4		2.7.4.21	sce04070;sce04138		
r_0094	8-amino-7-oxononanoate synthase				R03210	MNXR95854
r_0095	acetaldehyde condensation	ACALDCD	4.1.1.-;4.1.1.1;4.1.1.43;4.1.1.74	sce00010;sce01110;sce01130		MNXR151373
r_0096	acetohydroxy acid isomeroreductase		1.1.1.86	sce00290;sce00770;sce01110;sce01130;sce01210;sce01230		
r_0097	acetolactate synthase		2.2.1.6	sce00290;sce00650;sce00660;sce00770;sce01110;sce01130;sce01210;sce01230	R00006	MNXR106335
r_0099	acetyl-CoA ACP transacylase	ACOATAm		sce00190	R01624	MNXR95376
r_0100	acetyl-CoA C-acyltransferase (palmitoyl-CoA)	ACACT8p	2.3.1.16	sce00071;sce00280;sce01040;sce01110;sce01130;sce01212;sce04146		MNXR95204
r_0101	acetyl-CoA C-acyltransferase (tetracosanoyl-CoA)	ACACT9p	2.3.1.16	sce00071;sce00280;sce01040;sce01110;sce01130;sce01212;sce04146		MNXR124343
r_0102	acetyl-CoA C-acyltransferase (myristoyl-CoA)	ACACT7p	2.3.1.16	sce00071;sce00280;sce01040;sce01110;sce01130;sce01212;sce04146	R03991	MNXR95203
r_0103	acetyl-CoA C-acetyltransferase	ACACT1r	2.3.1.9	sce00071;sce00072;sce00280;sce00310;sce00380;sce00620;sce00630;sce00640;sce00650;sce00900;sce01110;sce01130;sce01200;sce01212	R00238	MNXR95194
r_0104	acetyl-CoA C-acetyltransferase	ACACT1m	2.3.1.9	sce00071;sce00072;sce00280;sce00310;sce00380;sce00620;sce00630;sce00640;sce00650;sce00900;sce01110;sce01130;sce01200;sce01212	R00238	MNXR95194
r_0105	acetyl-CoA C-acyltransferase (lauroyl-CoA)	ACACT6p	2.3.1.16	sce00071;sce00280;sce01040;sce01110;sce01130;sce01212;sce04146	R03858	MNXR95201
r_0106	acetyl-CoA C-acyltransferase (octanoyl-CoA)	ACACT4p	2.3.1.16	sce00071;sce00280;sce01040;sce01110;sce01130;sce01212;sce04146	R03778	MNXR95198
r_0107	acetyl-CoA C-acyltransferase (decanoyl-CoA)		2.3.1.16	sce00071;sce00280;sce01040;sce01110;sce01130;sce01212;sce04146	R04742	MNXR95200
r_0108	acetyl-Coa carboxylase	ACCOACrm	6.3.4.14;6.4.1.2	sce00061;sce00620;sce00640;sce01110;sce01212	R00742	MNXR95219
r_0109	acetyl-CoA carboxylase, reaction	ACCOAC	6.3.4.14	sce00061;sce00620;sce00640;sce00780;sce01110;sce01212	R00742	MNXR95219
r_0111	acetyl-CoA hydrolase	ACOAHim	3.1.2.1	sce00620	R00227	MNXR95363
r_0112	acetyl-CoA synthetase	ACS	6.2.1.1	sce00010;sce00620;sce00640;sce01110;sce01130;sce01200	R00235	MNXR95413
r_0113	acetyl-CoA synthetase	ACSm	6.2.1.1	sce00010;sce00620;sce00640;sce01110;sce01130;sce01200	R00235	MNXR95413
r_0114	acetyl-CoA synthetase nuclear		6.2.1.1	sce00010;sce00620;sce00640;sce01110;sce01130;sce01200	R00235	MNXR95413
r_0115	acetylglutamate kinase	ACGKm	1.2.1.38;2.7.2.8	sce00220;sce01110;sce01130;sce01210;sce01230	R02649	MNXR95256
r_0116	acid phosphatase (secreted)	ACP1e	3.1.3.2	sce00730;sce00740;sce04111	R00548	MNXR95393
r_0117	aconitase	ACONT3m	4.2.1.79	sce00640		MNXR95385
r_0118	acteylornithine transaminase	ACOTAim	2.6.1.11	sce00220;sce01110;sce01130;sce01210;sce01230	R02283	MNXR95388
r_0119	acyl carrier protein synthase	ACPSm	2.7.8.7		R10747	MNXR95402
r_0120	acyl-CoA oxidase (decanoyl-CoA)		1.3.3.6	sce00071;sce01040;sce01110;sce01212;sce04146		MNXR127526
r_0121	acyl-CoA oxidase (dodecanoyl-CoA)	ACOAO5p	1.3.3.6	sce00071;sce01040;sce01110;sce01212;sce04146		MNXR95365
r_0122	acyl-CoA oxidase (hexacosanoyl-CoA)	ACOAO9p	1.3.3.6	sce00071;sce01040;sce01110;sce01212;sce04146		MNXR124346
r_0123	acyl-CoA oxidase (hexadecanoyl-CoA)	ACOAO7p	1.3.3.6	sce00071;sce01040;sce01110;sce01212;sce04146		MNXR95367
r_0124	acyl-CoA oxidase (octadecanoyl-CoA)	ACOAO8p	1.3.3.6	sce00071;sce01040;sce01110;sce01212;sce04146		MNXR95368
r_0125	acyl-CoA oxidase (tetradecanoyl-CoA)	ACOAO6p	1.3.3.6	sce00071;sce01040;sce01110;sce01212;sce04146		MNXR95366
r_0126	acyl-CoA:sterol acyltransferase (oleoyl-CoA:episterol), ER membrane		2.3.1.26	sce00100		
r_0127	acyl-CoA:sterol acyltransferase (oleoyl-CoA:ergosterol), ER membrane		2.3.1.26	sce00100		MNXR119161
r_0128	acyl-CoA:sterol acyltransferase (oleoyl-CoA:fecosterol), ER membrane		2.3.1.26	sce00100		
r_0129	acyl-CoA:sterol acyltransferase (oleoyl-CoA:lanosterol), ER membrane		2.3.1.26	sce00100		MNXR119159
r_0130	acyl-CoA:sterol acyltransferase (oleoyl-CoA:zymosterol), ER membrane		2.3.1.26	sce00100		
r_0131	acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:episterol), ER membrane		2.3.1.26	sce00100		
r_0132	acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:ergosterol), ER membrane		2.3.1.26	sce00100		
r_0133	acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:fecosterol), ER membrane		2.3.1.26	sce00100		
r_0134	acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:lanosterol), ER membrane		2.3.1.26	sce00100		
r_0135	acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:zymosterol), ER membrane		2.3.1.26	sce00100		
r_0137	acylation of GPI inositol at 2 position, GPI-anchor assembly, step 3		2.3.-.-	sce00563		
r_0138	adenine deaminase	ADD	3.5.4.2	sce00230	R01244	MNXR152871
r_0139	adenine phosphoribosyltransferase	ADPT	2.4.2.7	sce00230	R00190	MNXR95482
r_0140	adenosine deaminase	ADA	3.5.4.2	sce00230	R01560	MNXR95432
r_0142	adenosine kinase	ADNK1	2.7.1.20	sce00230	R00185	MNXR95456
r_0143	adenosine monophosphate deaminase	AMPDA	3.5.4.6	sce00230;sce01110;sce01130	R00181	MNXR95824
r_0144	adenosylhomocysteinase	AHCi	3.3.1.1	sce00270	R00192	MNXR95492
r_0145	adenosylmethionine decarboxylase	ADMDC	4.1.1.50	sce00270;sce00330	R00178	MNXR95455
r_0146	adenosylmethionine-8-amino-7-oxononanoate transaminase	AMAOTr	2.6.1.62	sce00780	R03231	MNXR95806
r_0147	adenylate cyclase	ADNCYC	4.6.1.1	sce00230;sce04113;sce04213	R00089	MNXR95444
r_0148	adenylate kinase	ADK1	2.7.4.3	sce00230;sce00730;sce01110;sce01130	R00127	MNXR95450
r_0149	adenylate kinase	ADK1m	2.7.4.10	sce00230;sce00730;sce01110;sce01130	R00127	MNXR95450
r_0150	adenylate kinase (GTP)	ADK3m	2.7.4.10	sce00230;sce00730;sce01110;sce01130		MNXR95452
r_0151	adenylosuccinate lyase (AICAR)	ADSL2r	4.3.2.2	sce00230;sce00250;sce01110;sce01130	R04559	MNXR108966
r_0152	adenylosuccinate lyase	ADSL1r	4.3.2.2	sce00230;sce00250;sce01110;sce01130	R01083	MNXR95493
r_0153	adenylosuccinate synthase	ADSS	6.3.4.4	sce00230;sce00250	R01135	MNXR95495
r_0154	adenylyl-sulfate kinase	ADSK	2.7.1.25	sce00230;sce00920	R00509	MNXR95159
r_0155	ADP-ribose 2,3-cyclic phosphodiesterase	23CAPPD	3.1.4.37			MNXR117324
r_0156	alanine glyoxylate aminotransferase	AGTi	2.6.1.44	sce00250;sce00260;sce00630;sce01110;sce01130;sce01200;sce04146	R00369	MNXR180449
r_0157	alanyl-tRNA synthetase	ALATRS	6.1.1.7	sce00970	R03038	MNXR107903
r_0158	alcohol acetyltransferase (2-methylbutanol)	OHACT3	2.3.1.84			MNXR102165
r_0159	alcohol acetyltransferase (ethanol)		2.3.1.84			MNXR117501
r_0160	alcohol acetyltransferase (isoamyl alcohol)	OHACT2	2.3.1.84			MNXR102164
r_0161	alcohol acetyltransferase (isobutyl alcohol)	OHACT4	2.3.1.84			MNXR102166
r_0162	alcohol acetyltransferase (phenylethanol alcohol)	OHACT5	2.3.1.84			MNXR102167
r_0163	alcohol dehydrogenase (ethanol to acetaldehyde)	ALCD2x	1.1.1.1	sce00010;sce00071;sce00350;sce01110;sce01130	R00754	MNXR95725
r_0164	alcohol dehydrogenase (glycerol, NADP)	ALCD19y	1.1.1.-;1.1.1.21	sce00040	R01041	MNXR95711
r_0165	mitochondrial alcohol dehydrogenase	ALCD2irm	1.1.1.1	sce00010;sce00071;sce00350;sce01110;sce01130	R00754	MNXR95725
r_0166	aldehyde dehydrogenase (2-methylbutanol, NAD)	ALCD22xi	1.1.1.-;1.1.1.1;1.1.1.284	sce00010;sce00071;sce00350;sce01110;sce01130;sce01200		MNXR95716
r_0167	aldehyde dehydrogenase (2-methylbutanol, NAD)	ALCD22xim	1.1.1.1	sce00010;sce00071;sce00350;sce01110;sce01130		MNXR95716
r_0168	aldehyde dehydrogenase (2-methylbutanol, NADP)	ALCD22yi	1.1.1.-;1.1.1.2	sce00010;sce00040;sce00561;sce01110;sce01130		MNXR95717
r_0169	aldehyde dehydrogenase (2-phenylethanol, NAD)	ALCD25xi	1.1.1.-;1.1.1.1;1.1.1.284	sce00010;sce00071;sce00350;sce01110;sce01130;sce01200	R02611	MNXR95722
r_0170	aldehyde dehydrogenase (2-phenylethanol, NAD)	ALCD25xim	1.1.1.1	sce00010;sce00071;sce00350;sce01110;sce01130	R02611	MNXR95722
r_0171	aldehyde dehydrogenase (2-phenylethanol, NADP)	ALCD25yi	1.1.1.2	sce00010;sce00040;sce00561;sce01110;sce01130		MNXR95723
r_0172	aldehyde dehydrogenase (3-aminopropanal, NAD)	ALDD22x	1.2.1.3	sce00010;sce00340;sce00350;sce00360;sce00410;sce01110	R00904	MNXR95748
r_0173	aldehyde dehydrogenase (acetaldehyde, NADP)	ALDD2y	1.2.1.4	sce00010;sce00071;sce00280;sce00310;sce00330;sce00340;sce00380;sce00410;sce00561;sce00620;sce01110;sce01130	R00711	MNXR95750
r_0174	aldehyde dehydrogenase (acetylaldehyde, NAD)	ALDD2xm	1.2.1.5	sce00010;sce00071;sce00280;sce00310;sce00330;sce00340;sce00380;sce00410;sce00561;sce00620;sce01110;sce01130	R00710	MNXR95749
r_0175	aldehyde dehydrogenase (acetylaldehyde, NADP)	ALDD2ym	1.2.1.5	sce00010;sce00071;sce00280;sce00310;sce00330;sce00340;sce00380;sce00410;sce00561;sce00620;sce01110;sce01130	R00711	MNXR95750
r_0176	aldehyde dehydrogenase (indole-3-acetaldehyde, NAD)	ALDD20xm	1.2.1.5	sce00010;sce00071;sce00280;sce00310;sce00330;sce00340;sce00380;sce00410;sce00561;sce00620;sce01110;sce01130	R02678	MNXR95744
r_0177	aldehyde dehydrogenase (indole-3-acetaldehyde, NADP)	ALDD20y	1.2.1.4	sce00010;sce00071;sce00280;sce00310;sce00330;sce00340;sce00380;sce00410;sce00561;sce00620;sce01110;sce01130		MNXR95746
r_0178	aldehyde dehydrogenase (indole-3-acetaldehyde, NADP)	ALDD20ym	1.2.1.5	sce00010;sce00071;sce00280;sce00310;sce00330;sce00340;sce00380;sce00410;sce00561;sce00620;sce01110;sce01130		MNXR95746
r_0179	aldehyde dehydrogenase (isoamyl alcohol, NAD)	ALCD24xi	1.1.1.-;1.1.1.1;1.1.1.284	sce00010;sce00071;sce00350;sce01110;sce01130;sce01200	R05685	MNXR138038
r_0180	aldehyde dehydrogenase (isoamyl alcohol, NAD)	ALCD24xim	1.1.1.1	sce00010;sce00071;sce00350;sce01110;sce01130	R05685	MNXR138038
r_0181	aldehyde dehydrogenase (isoamyl alcohol, NADP)	ALCD24yi	1.1.1.2	sce00010;sce00040;sce00561;sce01110;sce01130	R05686	MNXR138039
r_0182	aldehyde dehydrogenase (isobutyl alcohol, NAD)	ALCD23xi	1.1.1.-;1.1.1.1;1.1.1.284	sce00010;sce00071;sce00350;sce01110;sce01130;sce01200		MNXR95718
r_0183	aldehyde dehydrogenase (isobutyl alcohol, NAD)	ALCD23xim	1.1.1.1	sce00010;sce00071;sce00350;sce01110;sce01130		MNXR95718
r_0184	aldehyde dehydrogenase (isobutyl alcohol, NADP)	ALCD23yi	1.1.1.2	sce00010;sce00040;sce00561;sce01110;sce01130		MNXR95719
r_0185	aldehyde dehydrogenase (phenylacetaldehyde, NAD)	ALDD19xr	1.2.1.3	sce00010;sce00340;sce00350;sce00360;sce00410;sce01110	R02536	MNXR95743
r_0186	aldehyde dehydrogenase (tryptophol, NAD)	ALCD26xi	1.1.1.-;1.1.1.1;1.1.1.284	sce00010;sce00071;sce00350;sce01110;sce01130;sce01200	R02679	MNXR95724
r_0187	aldehyde dehydrogenase (tryptophol, NAD)	ALCD26xim	1.1.1.1	sce00010;sce00071;sce00350;sce01110;sce01130	R02679	MNXR95724
r_0188	alkaline phosphatase (dihydroneopterin)	AKP1	3.1.3.1;3.1.3.54;3.1.7.6	sce00730;sce00790	R04620	MNXR139295
r_0189	allantoate amidinohydrolase	ALLTAHr	3.5.3.4	sce00230	R02422	MNXR95767
r_0190	allantoinase, reaction	ALLTN	3.5.2.5	sce00230	R02424	MNXR95769
r_0191	allophanate hydrolase	ALPHNH	3.5.1.54;6.3.4.6	sce00220;sce00791	R00005	MNXR95786
r_0192	alpha 1,2-mannosyltransferase		2.4.1.-	sce00513;sce00514	R05002	MNXR109280
r_0193	alpha,alpha-trehalase	TREHv	3.2.1.28	sce00500	R00010	MNXR95163
r_0194	alpha,alpha-trehalase	TREH	3.2.1.28	sce00500	R00010	MNXR95163
r_0195	alpha,alpha-trehalose-phosphate synthase (UDP-forming)	TRE6PS	2.4.1.15;3.1.3.12	sce00500	R00836	MNXR143415
r_0198	alpha-glucosidase	MALT	3.2.1.10;3.2.1.20	sce00052;sce00500	R00028	MNXR101350
r_0199	amidase	AMID	6.3.5.7	sce00970	R03180	MNXR154640
r_0200	Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing)	AACTOOR			R02529	MNXR95149
r_0201	Aminobutyraldehyde dehydrogenase	ABUTDm	1.2.1.5	sce00010;sce00071;sce00280;sce00310;sce00330;sce00340;sce00380;sce00410;sce00561;sce00620;sce01110;sce01130	R02549	MNXR95191
r_0202	anthranilate phosphoribosyltransferase	ANPRT	2.4.2.18	sce00400;sce01110;sce01130;sce01230	R01073	MNXR95842
r_0203	anthranilate synthase	ANS	4.1.3.27	sce00400;sce01110;sce01130;sce01230	R00986	MNXR95843
r_0204	Ap4A hydrolase	AP4AH	3.6.1.29	sce00230	R00125	MNXR95856
r_0205	arabinose reductase	ARABR	1.1.1.-;1.1.1.21	sce00040	R01759	MNXR107158
r_0206	arginase	ARGN	3.5.3.1	sce00220;sce00330;sce01110;sce01130;sce01230	R00551	MNXR95945
r_0207	argininosuccinate lyase	ARGSL	4.3.2.1	sce00220;sce00250;sce01110;sce01130;sce01230	R01086	MNXR138059
r_0208	argininosuccinate synthase	ARGSS	6.3.4.5	sce00220;sce00250;sce01110;sce01130;sce01230	R01954	MNXR138060
r_0209	arginyl-tRNA synthetase	ARGTRS	6.1.1.19	sce00970	R03646	MNXR95950
r_0210	arginyl-tRNA synthetase	ARGTRSm	6.1.1.19	sce00970	R03646	MNXR95950
r_0211	asparagine synthase (glutamine-hydrolysing)	ASNS1	6.3.5.4	sce00250;sce01110	R00578	MNXR96059
r_0212	Asparaginyl-tRNA synthetase	ASNTRS	6.1.1.22	sce00970	R03648	MNXR96064
r_0213	asparaginyl-tRNA synthetase, miotchondrial	ASNTRSm	6.1.1.22	sce00970	R03648	MNXR96064
r_0214	aspartate carbamoyltransferase	ASPCT	2.1.3.2;6.3.5.5	sce00240;sce00250	R01397	MNXR96080
r_0215	aspartate kinase	ASPK	2.7.2.4	sce00260;sce00261;sce00270;sce00300;sce01110;sce01130;sce01210;sce01230	R00480	MNXR96085
r_0216	aspartate transaminase	ASPTA	2.6.1.1	sce00220;sce00250;sce00270;sce00330;sce00350;sce00360;sce00400;sce01110;sce01130;sce01200;sce01210;sce01230	R00355	MNXR96079
r_0217	aspartate transaminase	ASPTAm	2.6.1.1	sce00220;sce00250;sce00270;sce00330;sce00350;sce00360;sce00400;sce01110;sce01130;sce01200;sce01210;sce01230	R00355	MNXR96079
r_0218	aspartate transaminase	ASPTAp	2.6.1.1	sce00220;sce00250;sce00270;sce00330;sce00350;sce00360;sce00400;sce01110;sce01130;sce01200;sce01210;sce01230	R00355	MNXR96079
r_0219	aspartate-semialdehyde dehydrogenase	ASAD	1.2.1.11	sce00260;sce00261;sce00270;sce00300;sce01110;sce01130;sce01210;sce01230	R02291	MNXR96039
r_0220	Aspartyl-tRNA synthetase	ASPTRS	6.1.1.12	sce00970	R05577	MNXR96101
r_0221	Aspartyl-tRNA synthetase	ASPTRSm	6.1.1.12	sce00970	R05577	MNXR96101
r_0222	ATP adenylyltransferase	ATPATF1	2.7.7.5;2.7.7.53	sce00230	R00126	MNXR95435
r_0223	ATP adenylyltransferase	ATPATF2	2.7.7.53	sce00230;sce00920		MNXR136085
r_0224	ATP adenylyltransferase	ATPATF3	2.7.7.53	sce00230;sce00920		MNXR96127
r_0225	ATP phosphoribosyltransferase	ATPPRT	2.4.2.17	sce00340;sce01110;sce01230	R01071	MNXR96132
r_0226	ATP synthase	ATPS3m	3.6.3.14	sce00190		MNXR96136
