id	name	bigg.reaction	ec-code	kegg.pathway	kegg.reaction	metanetx.reaction
r_0001	(R)-lactate:ferricytochrome-c 2-oxidoreductase	D_LACDcm	1.1.2.4;1.1.99.-	sce00620;sce00920	R00197	MNXR138960
r_0002	(R)-lactate:ferricytochrome-c 2-oxidoreductase	D_LACDm	1.1.2.4;1.1.99.-	sce00620;sce00920	R00197	MNXR138960
r_0003	(R,R)-butanediol dehydrogenase	BTDD_RR	1.1.1.4	sce00650	R02946	MNXR107844
r_0004	(S)-lactate:ferricytochrome-c 2-oxidoreductase	L_LACD2cm	1.1.2.3	sce00620;sce00920	R00196	MNXR138959
r_0005	1,3-beta-glucan synthase		2.4.1.34	sce00500;sce04011	R03118	MNXR143499
r_0006	1,6-beta-glucan synthase					
r_0007	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	PRMICI	5.3.1.16	sce00340;sce01110;sce01230	R04640	MNXR103169
r_0012	1-pyrroline-5-carboxylate dehydrogenase	P5CDm	1.2.1.88	sce00250;sce00330	R00707	MNXR102301
r_0013	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	DKMPPD	1.13.11.54;3.1.3.77	sce00270		MNXR126322
r_0014	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	DRTPPD	3.5.4.26;5.4.99.28	sce00740	R09377	MNXR112805
r_0015	2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)		1.1.1.302	sce00740	R09376	MNXR112804
r_0016	2-aceto-2-hydroxybutanoate synthase	ACHBSm	2.2.1.6	sce00290;sce00650;sce00660;sce00770;sce01110;sce01130;sce01210;sce01230	R08648	MNXR95260
r_0017	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase		2.5.1.15;2.7.6.3;4.1.2.25	sce00790	R03503	MNXR100694
