gene	classification
YLR172C	TP
YLR174W	TP
YLR180W	TP
YLR189C	TP
YLR201C	TP
YLR209C	TP
YLR214W	TP
YLR231C	TP
YLR237W	TP
YLR240W	TP
YLR244C	TP
YLR245C	TP
YLR258W	TP
YLR260W	TP
YLR284C	TP
YLR285W	TP
YLR286C	TP
YLR295C	TP
YLR299W	TP
YLR300W	TP
YLR303W	TP
YLR304C	TP
YLR305C	FP
YLR307W	TP
YLR308W	TP
YLR328W	TP
YLR342W	TP
YLR348C	TP
YLR350W	TP
YLR351C	TP
YLR354C	TP
YLR355C	FP
YLR359W	FP
YLR360W	TP
YLR372W	TP
YLR377C	TP
YLR382C	TP
YLR386W	TP
YLR395C	TP
YLR410W	TP
YLR420W	TP
YLR432W	TP
YLR438W	TP
YLR447C	TP
YLR450W	TP
YML004C	TP
YML008C	TP
YML022W	TP
YML035C	TP
YML042W	TP
YML054C	TP
YML056C	TP
YML059C	TP
YML070W	TP
YML075C	TP
YML081C-A	TP
YML086C	TP
YML100W	TP
YML106W	TP
YML110C	TP
YML120C	TP
YML123C	TP
YML125C	FP
YML126C	TN
YMR006C	TP
YMR008C	TP
YMR009W	TP
YMR011W	TP
YMR013C	FP
YMR015C	TP
YMR020W	TP
YMR041C	TP
YMR054W	TP
YMR056C	TP
YMR058W	TP
YMR062C	TP
YMR083W	TP
YMR087W	TP
YMR088C	TP
YMR099C	TP
YMR101C	TP
YMR105C	TP
YMR108W	FP
YMR110C	TP
YMR113W	TN
YMR120C	TP
YMR145C	TP
YMR162C	TP
YMR165C	TP
YMR169C	TP
YMR170C	TP
YMR189W	TP
YMR202W	TP
YMR205C	TP
YMR207C	TP
YMR208W	TN
YMR210W	TP
YMR217W	FN
YMR220W	TN
YMR226C	TP
YMR241W	TP
YMR243C	TP
YMR246W	TP
YMR250W	TP
YMR256C	TP
YMR261C	TP
YMR267W	TP
YMR271C	TP
YMR272C	TP
YMR278W	TP
YMR281W	FP
YMR289W	TP
YMR293C	TP
YMR296C	FP
YMR298W	FP
YMR300C	TP
YMR301C	FP
YMR303C	TP
YMR306W	TP
YMR313C	TP
YMR318C	TP
YMR319C	TP
YMR323W	TP
YNL003C	TP
YNL009W	TP
YNL029C	TP
YNL036W	FP
YNL037C	TP
YNL038W	FP
YNL045W	TP
YNL048W	TP
YNL052W	TP
YNL054W	TP
YNL065W	TP
YNL071W	TP
YNL073W	TP
YNL101W	TP
YNL104C	TP
YNL106C	TP
YNL117W	TP
YNL129W	TP
YNL130C	TP
YNL141W	TP
YNL142W	TP
YNL169C	TP
YNL191W	TP
YNL192W	TP
YNL202W	TP
YNL219C	TP
YNL220W	TP
YNL229C	TP
YNL241C	TP
YNL247W	TN
YNL256W	TN
YNL267W	FP
YNL268W	TP
YNL270C	TP
YNL274C	TP
YNL275W	FN
YNL277W	TP
YNL280C	TP
YNL292W	TP
YNL316C	TP
YNL318C	TP
YNL325C	TP
YNL331C	TP
YNL333W	TP
YNL334C	TP
YNR001C	TP
YNR008W	TP
YNR012W	TP
YNR013C	TP
YNR016C	TN
YNR019W	TP
YNR027W	TP
YNR030W	TP
YNR033W	TP
YNR041C	TP
YNR043W	TN
YNR050C	TP
YNR056C	TP
YNR057C	TP
YNR058W	TP
YNR060W	TP
YNR067C	TP
YNR072W	TP
YOL011W	TP
YOL020W	TP
YOL033W	TP
YOL049W	TN
YOL052C	TP
YOL055C	TP
YOL058W	TP
YOL059W	TP
YOL061W	TP
YOL064C	TP
YOL065C	TP
YOL066C	FP
YOL068C	TP
YOL077W-A	TP
YOL086C	TP
YOL092W	TP
YOL096C	TP
YOL097C	TN
YOL103W	TP
YOL122C	FN
YOL126C	TP
YOL130W	TN
YOL136C	TP
YOL140W	TP
YOL143C	TP
YOL151W	TP
YOL152W	TP
YOL156W	TP
YOL157C	TP
YOL165C	TP
YOR002W	TP
YOR011W	TP
YOR025W	TP
YOR040W	TP
YOR054C	FN
YOR065W	TP
YOR067C	TP
YOR071C	TP
YOR074C	TN
YOR081C	TP
YOR095C	TN
YOR099W	TP
YOR100C	TP
YOR108W	TP
YOR109W	TP
YOR120W	TP
YOR125C	TP
YOR126C	TP
YOR128C	TP
YOR130C	TP
YOR136W	TP
YOR142W	TP
YOR143C	FP
YOR149C	FP
YOR155C	TP
YOR161C	TP
YOR163W	TP
YOR168W	TN
YOR171C	TP
YOR175C	TP
YOR176W	TN
YOR180C	TP
YOR184W	TP
YOR190W	TP
YOR192C	TP
YOR202W	TP
YOR209C	TP
YOR221C	TP
YOR222W	TP
YOR236W	TN
YOR241W	TP
YOR245C	TP
YOR251C	TP
YOR253W	TP
YOR270C	TP
YOR273C	TP
YOR278W	TN
YOR283W	TP
YOR285W	TP
YOR286W	TP
YOR303W	TP
YOR306C	TP
YOR311C	TP
YOR316C	TP
YOR317W	TP
YOR321W	TP
YOR323C	TP
YOR332W	TP
YOR334W	TP
YOR335C	TN
YOR347C	TP
YOR348C	TP
YOR360C	TP
YOR374W	TP
YOR375C	TP
YOR377W	TP
YOR381W	TP
YOR384W	TP
YOR388C	TP
YOR391C	TP
YOR393W	TP
YPL015C	TP
YPL023C	TP
