reaction,name,charge
r_0229,biotin synthase,2
r_0241,"C-4 sterol methyl oxidase (4,4-dimethylzymosterol)",-6
r_0365,endopolygalacturonase,-1
r_0438,ferrocytochrome-c:oxygen oxidoreductase,-0.633
r_0439,ubiquinol:ferricytochrome c reductase,1.266
r_0532,hexaprenyldihydroxybenzoate methyltransferase,-2
r_1603,4-amino-5-hydroxymethyl-2-methylpyrimidine synthetase,-2
r_4196,NADH:ferricytochrome-b5 oxidoreductase,2
r_4320,"dolichyl beta-D-glucosyl phosphate:D-Man-alpha-(1->2)-D-Man-alpha-(1->2)-D-Man-alpha-(1->3)-[D-Man-alpha-(1->2)-D-Man-alpha-(1->3)-[D-Man-alpha-(1->2)-D-Man-alpha-(1->6)]-D-Man-alpha-(1->6)]-D-Man-beta-(1->4)-D-GlcNAc-beta-(1->4)-D-GlcNAc-diphosphodolichol alpha-1,3-glucosyltransferase",2
r_4321,"dolichyl beta-D-glucosyl phosphate:D-Glc-alpha-(1->3)-D-Man-alpha-(1->2)-D-Man-alpha-(1->2)-D-Man-alpha-(1->3)-[D-Man-alpha-(1->2)-D-Man-alpha-(1->3)-[D-Man-alpha-(1->2)-D-Man-alpha-(1->6)]-D-Man-alpha-(1->6)]-D-Man-beta-(1->4)-D-GlcNAc-beta-(1->4)-D-GlcNAc-diphosphodolichol alpha-1,3-glucosyltransferase",-2
