kind,id,namespace,value
metabolite,s_4269,chebi,ChEBI:15987
metabolite,s_4304,chebi,ChEBI:17173
metabolite,s_4310,chebi,ChEBI:27551
reaction,r_4747,kegg.pathway,Pyrimidine metabolism
reaction,r_4747,rhea,RHEA:24674
reaction,r_4748,kegg.pathway,Fructose and mannose metabolism
reaction,r_4748,rhea,RHEA:13941
reaction,r_4749,kegg.pathway,Purine metabolism
reaction,r_4749,rhea,RHEA:27642
reaction,r_4750,kegg.pathway,Glycolysis / gluconeogenesis
reaction,r_4750,rhea,RHEA:10264
reaction,r_4751,kegg.pathway,Phenylalanine metabolism
reaction,r_4752,kegg.pathway,Glutathione metabolism
reaction,r_4753,kegg.pathway,Thiamine metabolism
reaction,r_4753,rhea,RHEA:47848
reaction,r_4754,kegg.pathway,Riboflavin metabolism
reaction,r_4754,rhea,RHEA:37743
reaction,r_4755,kegg.pathway,Pyruvate metabolism
reaction,r_4755,rhea,RHEA:51608
reaction,r_4756,kegg.pathway,Pyrimidine metabolism
reaction,r_4757,kegg.pathway,Alternate carbon metabolism
reaction,r_4758,kegg.pathway,Purine metabolism
reaction,r_4758,rhea,RHEA:27738
reaction,r_4760,kegg.pathway,Arginine and proline metabolism
reaction,r_4761,kegg.pathway,Tryptophan metabolism
reaction,r_4761,rhea,RHEA:65885
reaction,r_4762,kegg.pathway,"Valine, leucine and isoleucine metabolism"
reaction,r_4762,rhea,RHEA:31251
reaction,r_4763,kegg.pathway,Butanoate metabolism
reaction,r_4764,kegg.pathway,Pyrimidine metabolism
reaction,r_4764,rhea,RHEA:30759
reaction,r_4765,kegg.pathway,Purine metabolism
reaction,r_4766,kegg.pathway,Purine metabolism
reaction,r_4766,rhea,RHEA:13665
reaction,r_4767,kegg.pathway,Tryptophan metabolism
reaction,r_4767,rhea,RHEA:65561
reaction,r_4768,kegg.pathway,Thiamine metabolism
reaction,r_4769,kegg.pathway,Purine metabolism
reaction,r_4769,rhea,RHEA:13893
reaction,r_4770,kegg.pathway,Pyrimidine metabolism
reaction,r_4771,kegg.pathway,Pyrimidine metabolism
reaction,r_4772,kegg.pathway,Pyrimidine metabolism
reaction,r_4773,kegg.pathway,Pyrimidine metabolism
reaction,r_4774,kegg.pathway,Pyrimidine metabolism
reaction,r_4775,kegg.pathway,Pyrimidine metabolism
reaction,r_4776,kegg.pathway,Pyrimidine metabolism
reaction,r_4777,kegg.pathway,Pyrimidine metabolism
reaction,r_4778,kegg.pathway,Pyrimidine metabolism
